lease_id,property_id,tenant_id,lease_suite_group,lease_status,rentable_sf,base_psf,cam_psf,tax_psf,insurance_psf,total_psf,monthly_rent_stated,monthly_rent_formula_check,monthly_variance,expiration_date,source_authority,notes,doorloop_dates_ignored
lease_101_103_the_pink_paisley_llc,prop_on_the_boulevard,tenant_the_pink_paisley_llc,101-103,ACTIVE,9931,15.35,2.1,0.9,1.0,19.35,16008.9,16013.74,-4.84,2027-02-28,User-attached rent roll from review of actual signed leases; Doorloop dates ignored per user.,Unit 103 SF increased by 3 SF per owner correction. Monthly stated rent retained from signed rent roll until/if billing is re-rated to corrected SF.,True
lease_105_painted_bayou,prop_on_the_boulevard,tenant_painted_bayou,105,ACTIVE,2222,13.5,2.1,0.85,1.0,17.45,3231.16,3231.16,0.0,2029-03-31,User-attached rent roll from review of actual signed leases; Doorloop dates ignored per user.,,True
lease_107_great_american,prop_on_the_boulevard,tenant_great_american,107,ACTIVE,1743,13.5,2.1,0.9,1.0,17.5,2541.88,2541.88,0.0,2027-03-31,User-attached rent roll from review of actual signed leases; Doorloop dates ignored per user.,,True
lease_109_jc_kate,prop_on_the_boulevard,tenant_jc_kate,109,ACTIVE,2546,14.0,2.1,0.85,1.0,17.95,3808.39,3808.39,0.0,2028-09-30,User-attached rent roll from review of actual signed leases; Doorloop dates ignored per user.,,True
lease_111_lola_pink,prop_on_the_boulevard,tenant_lola_pink,111,ACTIVE,1690,13.5,2.1,0.95,1.95,18.5,2605.42,2605.42,0.0,2027-01-31,User-attached rent roll from review of actual signed leases; Doorloop dates ignored per user.,,True
lease_113_graze_acadiana,prop_on_the_boulevard,tenant_graze_acadiana,113,ACTIVE,2606,13.5,2.1,0.95,1.95,18.5,4017.58,4017.58,0.0,2027-06-30,User-attached rent roll from review of actual signed leases; Doorloop dates ignored per user.,,True
lease_115_117_the_clothing_loft,prop_on_the_boulevard,tenant_the_clothing_loft,115-117,ACTIVE,4340,13.5,2.1,0.95,1.85,18.4,6654.67,6654.67,0.0,2026-09-30,User-attached rent roll from review of actual signed leases; Doorloop dates ignored per user.,,True
lease_117_half_victoria_nails,prop_on_the_boulevard,tenant_victoria_nails,117 1/2,ACTIVE,1769,14.0,2.1,0.95,1.95,19.0,2800.92,2800.92,0.0,2029-02-28,User-attached rent roll from review of actual signed leases; Doorloop dates ignored per user.,,True
lease_119_oupac,prop_on_the_boulevard,tenant_oupac,119,ACTIVE,1982,13.5,2.1,0.9,1.0,17.5,2890.42,2890.42,0.0,2027-02-28,User-attached rent roll from review of actual signed leases; Doorloop dates ignored per user.,,True
lease_119_half_cat_clinic_of_lafayette,prop_on_the_boulevard,tenant_cat_clinic_of_lafayette,119 1/2,ACTIVE,1974,14.0,2.1,1.2,1.15,18.45,3035.03,3035.02,0.01,2029-02-28,User-attached signed rent roll plus direct owner corrections; DoorLoop dates ignored.,Owner confirmed Cat Clinic renewed for 3 years. Expiration updated from 2/28/2026 to 2/28/2029.,True
lease_121_magnolia_salon,prop_on_the_boulevard,tenant_magnolia_salon,121,ACTIVE,1709,12.75,2.1,0.95,1.95,17.75,2527.9,2527.9,0.0,2031-12-31,User-attached rent roll from review of actual signed leases; Doorloop dates ignored per user.,,True
lease_123_the_tux_shoppe,prop_on_the_boulevard,tenant_the_tux_shoppe,123,ACTIVE,3563,13.5,2.1,0.95,1.95,18.5,5492.96,5492.96,0.0,2029-12-31,User-attached rent roll from review of actual signed leases; Doorloop dates ignored per user.,,True
lease_125_127_jordan_amanda,prop_on_the_boulevard,tenant_jordan_amanda,125-127,ACTIVE,4273,13.5,2.1,0.95,1.95,18.5,6587.54,6587.54,0.0,2028-04-30,User-attached rent roll from review of actual signed leases; Doorloop dates ignored per user.,,True
