charge_id,lease_id,charge_type,amount_type,annual_psf,monthly_amount_formula,monthly_amount_calculated,billing_frequency,source_authority,notes
charge_lease_101_103_the_pink_paisley_llc_base_rent,lease_101_103_the_pink_paisley_llc,base_rent,annual_psf,15.35,rentable_sf * annual_psf / 12,12703.4,monthly,signed rent roll,
charge_lease_101_103_the_pink_paisley_llc_cam,lease_101_103_the_pink_paisley_llc,cam,annual_psf,2.1,rentable_sf * annual_psf / 12,1737.93,monthly,signed rent roll,
charge_lease_101_103_the_pink_paisley_llc_tax_reimbursement,lease_101_103_the_pink_paisley_llc,tax_reimbursement,annual_psf,0.9,rentable_sf * annual_psf / 12,744.82,monthly,signed rent roll,
charge_lease_101_103_the_pink_paisley_llc_insurance_reimbursement,lease_101_103_the_pink_paisley_llc,insurance_reimbursement,annual_psf,1.0,rentable_sf * annual_psf / 12,827.58,monthly,signed rent roll,
charge_lease_101_103_the_pink_paisley_llc_total_monthly_stated,lease_101_103_the_pink_paisley_llc,total_monthly_authoritative,monthly_stated,19.35,,16008.9,monthly,owner-corrected signed rent roll,Use this amount for billing unless owner explicitly chooses PSF recomputation.
charge_lease_105_painted_bayou_base_rent,lease_105_painted_bayou,base_rent,annual_psf,13.5,rentable_sf * annual_psf / 12,2499.75,monthly,signed rent roll,
charge_lease_105_painted_bayou_cam,lease_105_painted_bayou,cam,annual_psf,2.1,rentable_sf * annual_psf / 12,388.85,monthly,signed rent roll,
charge_lease_105_painted_bayou_tax_reimbursement,lease_105_painted_bayou,tax_reimbursement,annual_psf,0.85,rentable_sf * annual_psf / 12,157.39,monthly,signed rent roll,
charge_lease_105_painted_bayou_insurance_reimbursement,lease_105_painted_bayou,insurance_reimbursement,annual_psf,1.0,rentable_sf * annual_psf / 12,185.17,monthly,signed rent roll,
charge_lease_105_painted_bayou_total_monthly_stated,lease_105_painted_bayou,total_monthly_authoritative,monthly_stated,17.45,,3231.16,monthly,owner-corrected signed rent roll,Use this amount for billing unless owner explicitly chooses PSF recomputation.
charge_lease_107_great_american_base_rent,lease_107_great_american,base_rent,annual_psf,13.5,rentable_sf * annual_psf / 12,1960.88,monthly,signed rent roll,
charge_lease_107_great_american_cam,lease_107_great_american,cam,annual_psf,2.1,rentable_sf * annual_psf / 12,305.03,monthly,signed rent roll,
