unit_id,property_id,building_id,unit_label,rentable_sf,current_status,current_tenant_id,current_lease_id,lease_suite_group,is_split_from_combined_lease,allocation_percent_of_lease_group,allocated_monthly_reporting_amount,source_authority,notes
unit_101,prop_on_the_boulevard,bldg_main_retail_center,101,6877,ACTIVE,tenant_the_pink_paisley_llc,lease_101_103_the_pink_paisley_llc,101-103,True,0.692478,11085.81,FINAL_UNIT_SOT,"Unit 103 SF increased by 3 SF per owner correction. 101-103 physical group SF now 9,931. Monthly stated rent retained from signed rent roll unless billing is re-rated to corrected SF."
unit_103,prop_on_the_boulevard,bldg_main_retail_center,103,3054,ACTIVE,tenant_the_pink_paisley_llc,lease_101_103_the_pink_paisley_llc,101-103,True,0.307522,4923.09,FINAL_UNIT_SOT,"Unit 103 SF increased from 3,051 to 3,054 per owner correction. 101-103 physical group SF now 9,931. Monthly stated rent retained from signed rent roll unless billing is re-rated to corrected SF."
unit_105,prop_on_the_boulevard,bldg_main_retail_center,105,2222,ACTIVE,tenant_painted_bayou,lease_105_painted_bayou,105,False,1.0,3231.16,FINAL_UNIT_SOT,
unit_107,prop_on_the_boulevard,bldg_main_retail_center,107,1743,ACTIVE,tenant_great_american,lease_107_great_american,107,False,1.0,2541.88,FINAL_UNIT_SOT,
unit_109,prop_on_the_boulevard,bldg_main_retail_center,109,2546,ACTIVE,tenant_jc_kate,lease_109_jc_kate,109,False,1.0,3808.39,FINAL_UNIT_SOT,
unit_111,prop_on_the_boulevard,bldg_main_retail_center,111,1690,ACTIVE,tenant_lola_pink,lease_111_lola_pink,111,False,1.0,2605.42,FINAL_UNIT_SOT,
unit_113,prop_on_the_boulevard,bldg_main_retail_center,113,2606,ACTIVE,tenant_graze_acadiana,lease_113_graze_acadiana,113,False,1.0,4017.58,FINAL_UNIT_SOT,
unit_115,prop_on_the_boulevard,bldg_main_retail_center,115,2170,ACTIVE,tenant_the_clothing_loft,lease_115_117_the_clothing_loft,115-117,True,0.5,3327.34,FINAL_UNIT_SOT,Physical unit is split from a combined lease group. Lease economics are group-level; unit allocation is for reporting only. Combined lease retained as legal/economic grouping while preserving physical unit separation.
unit_117,prop_on_the_boulevard,bldg_main_retail_center,117,2170,ACTIVE,tenant_the_clothing_loft,lease_115_117_the_clothing_loft,115-117,True,0.5,3327.34,FINAL_UNIT_SOT,Physical unit is split from a combined lease group. Lease economics are group-level; unit allocation is for reporting only. Combined lease retained as legal/economic grouping while preserving physical unit separation.
unit_117_half,prop_on_the_boulevard,bldg_main_retail_center,117 1/2,1769,ACTIVE,tenant_victoria_nails,lease_117_half_victoria_nails,117 1/2,False,1.0,2800.92,FINAL_UNIT_SOT,
unit_119,prop_on_the_boulevard,bldg_main_retail_center,119,1982,ACTIVE,tenant_oupac,lease_119_oupac,119,False,1.0,2890.42,FINAL_UNIT_SOT,
unit_119_half,prop_on_the_boulevard,bldg_main_retail_center,119 1/2,1974,ACTIVE,tenant_cat_clinic_of_lafayette,lease_119_half_cat_clinic_of_lafayette,119 1/2,False,1.0,3035.03,FINAL_UNIT_SOT,Owner confirmed Cat Clinic renewed for 3 years. Prior expired-occupied review cleared and expiration updated to 2/28/2029.
unit_121,prop_on_the_boulevard,bldg_main_retail_center,121,1709,ACTIVE,tenant_magnolia_salon,lease_121_magnolia_salon,121,False,1.0,2527.9,FINAL_UNIT_SOT,
unit_123,prop_on_the_boulevard,bldg_main_retail_center,123,3563,ACTIVE,tenant_the_tux_shoppe,lease_123_the_tux_shoppe,123,False,1.0,5492.96,FINAL_UNIT_SOT,
unit_125,prop_on_the_boulevard,bldg_main_retail_center,125,1735,ACTIVE,tenant_jordan_amanda,lease_125_127_jordan_amanda,125-127,True,0.406038,2674.79,FINAL_UNIT_SOT,Physical unit is split from a combined lease group. Lease economics are group-level; unit allocation is for reporting only. Combined lease retained as legal/economic grouping while preserving physical unit separation.
unit_127,prop_on_the_boulevard,bldg_main_retail_center,127,2538,ACTIVE,tenant_jordan_amanda,lease_125_127_jordan_amanda,125-127,True,0.593962,3912.75,FINAL_UNIT_SOT,Physical unit is split from a combined lease group. Lease economics are group-level; unit allocation is for reporting only. Combined lease retained as legal/economic grouping while preserving physical unit separation.
unit_129,prop_on_the_boulevard,bldg_main_retail_center,129,1789,ACTIVE,tenant_hotworx,lease_129_hotworx,129,False,1.0,2832.58,FINAL_UNIT_SOT,
unit_131,prop_on_the_boulevard,bldg_main_retail_center,131,1907,VACANT,,,131,False,1.0,0.0,FINAL_UNIT_SOT,
unit_133,prop_on_the_boulevard,bldg_main_retail_center,133,1272,VACANT,,,133,False,1.0,0.0,FINAL_UNIT_SOT,
unit_135a,prop_on_the_boulevard,bldg_main_retail_center,135A,1580,ACTIVE,tenant_c_wolf_barber_shop,lease_135a_c_wolf_barber_shop,135A,False,1.0,2040.83,FINAL_UNIT_SOT,
unit_135b,prop_on_the_boulevard,bldg_main_retail_center,135B,1580,OWNER_OCCUPIED,tenant_belle_realty,lease_135b_belle_realty,135B,False,1.0,0.0,FINAL_UNIT_SOT,Owner occupied per owner correction. Zero rent and NA expiration intentionally retained.
unit_137,prop_on_the_boulevard,bldg_main_retail_center,137,2053,ACTIVE,tenant_greek_expressions,lease_137_greek_expressions,137,False,1.0,3165.04,FINAL_UNIT_SOT,
unit_139,prop_on_the_boulevard,bldg_main_retail_center,139,1917,ACTIVE,tenant_fast_pass_tag_and_title,lease_139_141_fast_pass_tag_and_title,139/141,True,0.5,2955.38,FINAL_UNIT_SOT,Physical unit is split from a combined lease group. Lease economics are group-level; unit allocation is for reporting only. Combined lease retained as legal/economic grouping while preserving physical unit separation.
unit_141,prop_on_the_boulevard,bldg_main_retail_center,141,1917,ACTIVE,tenant_fast_pass_tag_and_title,lease_139_141_fast_pass_tag_and_title,139/141,True,0.5,2955.38,FINAL_UNIT_SOT,Physical unit is split from a combined lease group. Lease economics are group-level; unit allocation is for reporting only. Combined lease retained as legal/economic grouping while preserving physical unit separation.
